model,Threshold,Overlap,IoU=0.50:0.95,IoU=0.50
YOLOv11n,0.1,0.0,0.575,0.789
YOLOv11n,0.1,0.1,0.554,0.771
YOLOv11n,0.1,0.3,0.53,0.742
YOLOv11n,0.3,0.0,0.68,0.919
YOLOv11n,0.3,0.1,0.664,0.902
YOLOv11n,0.3,0.3,0.657,0.893
YOLOv11n,0.5,0.0,0.712,0.931
YOLOv11n,0.5,0.1,0.71,0.931
YOLOv11n,0.5,0.3,0.691,0.919
YOLOv11n,1.0,0.0,0.722,0.932
YOLOv11n,1.0,0.1,0.733,0.929
YOLOv11n,1.0,0.3,0.707,0.925
co-detr,0.1,0.0,0.557,0.777
co-detr,0.1,0.1,0.534,0.754
co-detr,0.1,0.3,0.525,0.755
co-detr,0.3,0.0,0.659,0.871
co-detr,0.3,0.1,0.661,0.872
co-detr,0.3,0.3,0.637,0.871
co-detr,0.5,0.0,0.673,0.907
co-detr,0.5,0.1,0.716,0.914
co-detr,0.5,0.3,0.683,0.887
co-detr,1.0,0.0,0.707,0.927
co-detr,1.0,0.1,0.724,0.931
co-detr,1.0,0.3,0.699,0.905
faster-rcnn,0.1,0.0,0.538,0.785
faster-rcnn,0.1,0.1,0.509,0.721
faster-rcnn,0.1,0.3,0.479,0.696
faster-rcnn,0.3,0.0,0.657,0.883
faster-rcnn,0.3,0.1,0.649,0.884
faster-rcnn,0.3,0.3,0.642,0.872
faster-rcnn,0.5,0.0,0.698,0.926
faster-rcnn,0.5,0.1,0.691,0.906
faster-rcnn,0.5,0.3,0.671,0.891
faster-rcnn,1.0,0.0,0.697,0.920
faster-rcnn,1.0,0.1,0.699,0.926
faster-rcnn,1.0,0.3,0.712,0.930
