threshold,overlap,size,Images,Instances,Box Precision,Box Recall,mAP50,mAP50-95,speedpreprocess,speedinference,speedloss,speedpostprocess,count_images_train,count_annotations_train,mean_pixel_count_train,total_pixel_count_train,count_images_valid,count_annotations_valid,mean_pixel_count_valid,total_pixel_count_valid
0.1,0.0,large,158,303,0.875,0.637,0.717,0.513,0.9,1.4,0.0,4.3,2020,3578,672672,808612475,158,306,667662,105386000
0.1,0.0,medium,160,276,0.875,0.688,0.753,0.542,0.6,1.1,0.0,2.0,2020,3578,672672,808612475,160,276,375741,60000000
0.1,0.0,small,192,350,0.929,0.803,0.873,0.655,0.7,0.8,0.0,2.6,2020,3578,672672,808612475,192,351,166830,31968000
0.1,0.1,large,199,366,0.879,0.636,0.724,0.523,0.7,1.5,0.0,4.1,2275,4197,781920,1060946642,199,368,782644,155603274
0.1,0.1,medium,188,325,0.848,0.677,0.753,0.561,0.5,1.2,0.0,2.6,2275,4197,781920,1060946642,188,325,444711,83453952
0.1,0.1,small,215,339,0.906,0.713,0.8,0.581,0.7,0.8,0.0,1.4,2275,4197,781920,1060946642,215,340,199104,42729960
0.1,0.3,large,289,533,0.814,0.648,0.714,0.497,0.4,1.2,0.0,0.8,2975,6244,1031271,1861229347,289,550,1041666,300921250
0.1,0.3,medium,257,464,0.815,0.672,0.731,0.531,0.4,0.8,0.0,1.2,2975,6244,1031271,1861229347,257,482,598185,153572149
0.1,0.3,small,275,444,0.878,0.705,0.79,0.581,0.5,0.9,0.0,1.3,2975,6244,1031271,1861229347,275,445,271572,74566250
0.3,0.0,large,116,214,0.86,0.806,0.853,0.614,0.9,1.2,0.0,0.9,1421,2370,675348,559045547,116,214,667990,77372000
0.3,0.0,medium,116,197,0.963,0.817,0.93,0.691,1.3,0.9,0.0,2.3,1421,2370,675348,559045547,116,197,375984,43500000
0.3,0.0,small,129,258,0.922,0.92,0.956,0.734,1.1,0.9,0.0,1.1,1421,2370,675348,559045547,129,258,166992,21478500
0.3,0.1,large,145,260,0.879,0.754,0.839,0.589,0.7,1.2,0.0,1.1,1551,2658,781196,707524320,145,260,782644,113379270
0.3,0.1,medium,126,220,0.871,0.895,0.921,0.705,1.2,0.9,0.0,2.2,1551,2658,781196,707524320,126,220,444976,55931904
0.3,0.1,small,136,223,0.943,0.883,0.947,0.72,1.1,1.3,0.0,2.1,1551,2658,781196,707524320,136,223,199281,27029184
0.3,0.3,large,187,338,0.859,0.793,0.846,0.613,0.3,1.3,0.0,1.1,2008,3639,1025473,1214652152,187,338,1042080,194713750
0.3,0.3,medium,174,315,0.931,0.814,0.893,0.655,0.9,0.8,0.0,1.9,2008,3639,1025473,1214652152,174,315,598805,103974918
0.3,0.3,small,183,299,0.962,0.876,0.936,0.722,0.6,1.2,0.0,1.8,2008,3639,1025473,1214652152,183,299,271572,49620450
0.5,0.0,large,101,183,0.916,0.847,0.897,0.669,1.4,1.4,0.0,2.4,1299,2170,676350,509711598,101,183,667990,67367000
0.5,0.0,medium,106,180,0.934,0.865,0.92,0.695,1.2,1.4,0.0,4.4,1299,2170,676350,509711598,106,180,376225,39750000
0.5,0.0,small,123,245,0.926,0.935,0.959,0.76,1.1,1.3,0.0,1.7,1299,2170,676350,509711598,123,245,166992,20479500
0.5,0.1,large,124,223,0.896,0.821,0.899,0.653,0.7,1.2,0.0,2.3,1408,2416,780472,642733242,124,223,783000,96958824
0.5,0.1,medium,116,204,0.947,0.882,0.938,0.73,1.2,1.0,0.0,1.9,1408,2416,780472,642733242,116,204,445239,51492864
0.5,0.1,small,123,206,0.956,0.917,0.956,0.763,1.3,0.8,0.0,0.9,1408,2416,780472,642733242,123,206,199281,24445512
0.5,0.3,large,169,304,0.931,0.798,0.87,0.636,0.6,1.2,0.0,1.6,1815,3275,1023815,1090328372,169,304,1042080,175971250
0.5,0.3,medium,155,280,0.951,0.898,0.936,0.706,0.9,0.8,0.0,1.5,1815,3275,1023815,1090328372,155,280,598805,92621335
0.5,0.3,small,169,277,0.924,0.926,0.951,0.744,0.6,1.1,0.0,0.9,1815,3275,1023815,1090328372,169,277,271780,45824350
1.0,0.0,large,92,163,0.887,0.859,0.904,0.676,1.5,1.0,0.0,1.6,1145,1912,678028,454748405,92,163,668316,61364000
1.0,0.0,medium,94,162,0.908,0.895,0.942,0.734,1.5,0.9,0.0,1.7,1145,1912,678028,454748405,94,162,376225,35250000
1.0,0.0,small,107,207,0.925,0.891,0.947,0.762,1.3,0.9,0.0,1.5,1145,1912,678028,454748405,107,207,166992,17815500
1.0,0.1,large,107,193,0.848,0.891,0.902,0.681,1.0,1.2,0.0,1.0,1238,2127,780472,568626974,107,193,783000,83666082
1.0,0.1,medium,103,184,0.911,0.902,0.947,0.747,1.4,0.9,0.0,0.9,1238,2127,780472,568626974,103,184,445239,45722112
1.0,0.1,small,110,179,0.948,0.905,0.947,0.75,1.3,0.9,0.0,2.3,1238,2127,780472,568626974,110,179,199281,21861840
1.0,0.3,large,148,269,0.935,0.799,0.885,0.654,0.6,2.5,0.0,1.5,1618,2909,1022986,979452956,148,269,1042492,154105000
1.0,0.3,medium,135,248,0.92,0.887,0.935,0.722,1.1,0.9,0.0,1.4,1618,2909,1022986,979452956,135,248,599112,80670195
1.0,0.3,small,148,244,0.921,0.907,0.954,0.761,1.0,0.9,0.0,1.6,1618,2909,1022986,979452956,148,244,271780,40130200
